Country,Indicator,Indicator_Type,SeriesCode,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Turkmenistan,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,5.92,6.64,7.73,10.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Türkiye,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,49.1,54.94,55.37,62.46,58.16,55.97,32.57,27.41,27.77,22.86,61.89,43.71,45.39,116.79,114.45,69.63,52.42,50.57,40.73,41.48,0.0
Uganda,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,61.52,60.15,60.47,57.49,58.41,55.89,55.19,55.61,51.49,53.81,55.07,54.18,160.87,150.51,51.17,0.0,0.0,0.0,51.76,48.8,0.0
Ukraine,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,13.05,11.91,11.21,11.59,12.3,13.72,15.82,25.56,24.43,0.0,20.97,0.0,0.0,0.0,101.01,0.0,0.0,0.0,0.0,35.6,0.0
United Arab Emirates,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,0.0,0.0,44.69,45.87,0.0,0.0,0.0,0.0,0.0,34.25,33.36,38.21,0.0,38.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom (England and Wales),16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,10.72,10.36,10.76,10.53,10.69,10.71,16.22,9.98,9.72,8.91,30.4,32.66,31.0,24.68,25.87,25.86,24.63,33.2,35.44,10.86,0.0
United Kingdom (Northern Ireland),16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,0.0,0.0,32.71,35.58,34.71,32.95,33.77,33.45,34.91,28.42,79.66,74.61,75.46,80.33,90.58,109.88,34.06,136.59,136.07999999999998,0.0,0.0
United Kingdom (Scotland),16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,18.73,18.05,18.23,21.87,21.16,21.45,19.11,18.77,19.57,18.23,18.67,19.73,17.47,57.9,59.46,19.08,19.01,84.52000000000001,86.2,92.84,0.0
United Republic of Tanzania,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,0.0,0.0,55.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.12,0.0,49.99,49.99,0.0,0.0,50.99,55.41,50.04,0.0,0.0
United States of America,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,22.6,21.63,23.27,22.21,22.3,22.42,21.87,21.18,20.87,21.37,21.47,22.06,21.93,23.32,23.47,24.15,24.29,23.87,26.15,0.0,0.0
Uruguay,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,60.39,57.05,0.0,60.08,0.0,0.0,0.0,64.76,63.26,67.17,63.33,65.54,69.37,210.98,209.38,128.26,64.89,29.49,21.01,26.42,0.0
Vanuatu,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,0.0,0.0,18.84,0.0,0.0,0.0,0.0,21.39,0.0,12.37,0.0,15.23,0.0,22.4,0.0,0.0,0.0,0.0,32.31,0.0,0.0
Venezuela (Bolivarian Republic of),16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92,0.0,0.0,0.0,0.0,63.43,0.0,63.0,0.0,0.0,62.52,0.0,0.0,0.0
Viet Nam,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64,0.0,0.0,17.6,0.0,0.0,12.39,12.8,0.0,0.0,11.5,0.0
Yemen,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,0.0,50.64,34.84,28.77,34.22,32.4,40.18,47.76,0.0,0.0,70.86,0.0,0.0,0.0,59.05,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,0.0,0.0,42.83,0.0,0.0,62.88,0.0,0.0,0.0,39.36,23.21,0.0,0.0,36.84,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,16.3.2,Unsentenced Detainees,VC_PRS_UNSNT,PERCENT,0.0,0.0,0.0,30.67,29.68,30.29,24.74,27.09,22.95,0.0,27.61,0.0,0.0,0.0,0.0,17.1,0.0,58.48,80.85,68.13,72.79,0.0,25.19,0.0
Afghanistan,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6,0.0,0.0,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,22.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Azerbaijan,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Bangladesh,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
Barbados,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Belarus,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Benin,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia (Plurinational State of),16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,0.0,0.0,0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Bulgaria,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.34,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
Burkina Faso,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,1.2,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Cabo Verde,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
Cameroon,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Chile,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
"China, Hong Kong Special Administrative Region",16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0
Colombia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,0.0,0.0
Colombia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0
Costa Rica,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Croatia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,6.14,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
Cyprus,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Czechia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Côte d'Ivoire,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
Denmark,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dominican Republic,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,23.0,0.0,0.0,4.03,0.0
Dominican Republic,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0
Dominican Republic,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0
Ecuador,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Salvador,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Estonia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
Estonia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Estonia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Eswatini,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
Fiji,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Finland,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
France,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.1,0.0,0.0,5.0,0.0,0.0
French Polynesia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Gabon,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,7.2,0.0,0.0,0.0
Georgia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Ghana,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
Ghana,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Ghana,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,33.0,0.0,0.0,0.0,26.7,0.0,0.0
Greece,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Guatemala,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
Guinea,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
Honduras,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
Hungary,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.97,0.0,0.0,0.0,0.0,17.0,0.0,0.0
India,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
Indonesia,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
Ireland,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Italy,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Jamaica,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0
Japan,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Jordan,16.5.1,"Prevalence rate of bribery, by sex (%)",IU_COR_BRIB,PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
